word,decision,reason_or_evidence
BURN,keep,04694090: a place or area that has been burned (especially on a person's body)
BURP,keep,00117578: a reflex that expels gas noisily from the stomach through the mouth
BURR,exclude,no clear singular countable sense (heuristic)
BURT,exclude,no clear singular countable sense (heuristic)
BUSH,keep,08505018: a large wilderness area
BUSS,exclude,no clear singular countable sense (heuristic)
BUST,keep,00510723: an occasion for excessive eating or drinking
BUTT,keep,02927608: a large cask (especially one holding a volume equivalent to 2 hogsheads or 126 gallons)
BUZZ,keep,01260008: a confusion of activity and gossip
BYRE,keep,03123809: a barn for cows
CAGE,keep,02811059: a movable screen placed behind home base to catch balls during batting practice
CAIN,exclude,no clear singular countable sense (heuristic)
CAKE,keep,02937469: a block of solid substance (such as soap or wax)
CALF,keep,01887896: young of domestic cattle
CALK,keep,02940143: a metal cleat on the bottom front of a horseshoe to prevent slipping
CALL,keep,01055493: a visit in an official or professional capacity
CALM,exclude,no clear singular countable sense (heuristic)
CALX,exclude,no clear singular countable sense (heuristic)
CAMP,keep,02945379: a penal institution (often for forced labor)
CANE,keep,02949084: a stiff switch used to hit students as punishment
CANT,keep,07157273: a characteristic language of a particular group (as among thieves)
CAPE,keep,02955767: a sleeveless garment like a cloak but shorter
CARD,keep,03033986: a printed circuit that can be inserted into expansion slots in a computer to increase the computer's capabilities
CARE,keep,07505047: a cause for feeling concern
CARP,exclude,no clear singular countable sense (heuristic)
CART,keep,02970849: a heavy open wagon usually having two wheels and drawn by an animal
CASE,keep,01182654: a comprehensive term for any proceeding in a court of law whereby an individual seeks a legal remedy
CASH,exclude,no clear singular countable sense (heuristic)
CASK,keep,02795169: a cylindrical container that holds liquids
CAST,keep,00105479: a violent throw
CAUL,exclude,no clear singular countable sense (heuristic)
CAVE,keep,09238926: a geological formation consisting of an underground enclosure with access from the surface of the ground or from the sea
CAVY,keep,02364520: short-tailed rough-haired South American rodent
CELL,keep,02991048: a device that delivers an electric current as the result of a chemical reaction
CELT,exclude,no clear singular countable sense (heuristic)
CENT,keep,13390626: a coin worth one-hundredth of the value of the basic unit
CERE,keep,"01758637: the fleshy, waxy covering at the base of the upper beak of some birds"
CERO,keep,02625851: large mackerel with long pointed snout
CHAD,exclude,no clear singular countable sense (heuristic)
CHAP,keep,09241929: a crack in a lip caused usually by cold
CHAR,keep,09911226: a human female employed to do housework
CHAT,keep,01560636: songbirds having a chattering call
CHAW,keep,07579399: a wad of something chewable as tobacco
CHEF,keep,09963574: a professional cook
CHEW,keep,07579399: a wad of something chewable as tobacco
CHIC,exclude,no clear singular countable sense (heuristic)
CHIN,exclude,no clear singular countable sense (heuristic)
CHIP,keep,03020416: a small disk-shaped counter used to represent money when gambling
CHIT,keep,09919451: a dismissive term for a girl who is immature or who lacks respect
CHOP,keep,00129317: a grounder that bounces high in the air
CHOW,keep,02112137: breed of medium-sized dogs with a thick coat and fluffy curled tails and distinctive blue-black tongues
CHUB,keep,01441272: European freshwater game fish with a thick spindle-shaped body
CHUG,exclude,no clear singular countable sense (heuristic)
CHUM,keep,02536685: a large Pacific salmon with small spots on its back
CITE,keep,06763681: a short note recognizing a source of information or of a quoted passage
CITY,keep,08524735: a large and densely populated urban area
CIVE,exclude,no clear singular countable sense (heuristic)
CLAM,keep,01956481: burrowing marine mollusk living on sand or mud
CLAN,exclude,no clear singular countable sense (heuristic)
CLAP,keep,07376257: a sudden very loud noise
CLAW,keep,02154742: a bird's foot
CLAY,exclude,no clear singular countable sense (heuristic)
CLEF,keep,06862562: a musical notation written on a staff indicating the pitch of the notes following it
CLEG,keep,02195526: large swift fly the female of which sucks blood of various animals
CLEW,keep,07961379: a ball of yarn or cord or thread
CLIP,keep,00133234: a sharp slanting blow
CLIT,keep,05523420: a female sexual organ homologous to the penis
CLOD,keep,07961016: a compact mass
CLOG,keep,00530208: a dance performed while wearing shoes with wooden soles
CLOP,exclude,no clear singular countable sense (heuristic)
CLOT,keep,05402091: a lump of material formed from the content of a liquid
CLUB,keep,02931417: a spot that is open late at night and that provides entertainment (as singers or dancers) as well as dancing and food and drink
CLUE,keep,06802785: a slight indication
COAL,keep,09273130: a hot fragment of wood or coal that is left from a fire and is glowing or smoldering
COAT,keep,01898731: growth of hair or wool or fur covering the body of an animal
COAX,keep,03059366: a transmission line for high-frequency signals
COCA,keep,12690046: a South American shrub whose leaves are chewed by natives of the Andes
COCK,keep,01514668: adult male bird
COCO,exclude,no clear singular countable sense (heuristic)
CODA,exclude,no clear singular countable sense (heuristic)
CODE,keep,06353934: a coding system used for transmitting messages requiring brevity or secrecy
COHO,exclude,no clear singular countable sense (heuristic)
COIF,keep,03065243: a skullcap worn by nuns under a veil or by soldiers under a hood of mail or formerly by British sergeants-at-law
COIL,keep,03065424: a structure consisting of something wound in a continuous series of loops
COIN,keep,13388245: a flat metal piece (usually a disc) used as money
COIR,exclude,no clear singular countable sense (heuristic)
COKE,exclude,no clear singular countable sense (heuristic)
COLA,exclude,irregular plural form
COLD,keep,14145501: a mild viral infection involving the nose and respiratory passages (but not the lungs)
COLE,keep,11876976: a hardy cabbage with coarse curly leaves that do not form a head
COLT,keep,02376791: a young male horse under the age of four
COMA,keep,05680193: a state of deep and often prolonged unconsciousness
COMB,keep,01792255: the fleshy red crest on the head of the domestic fowl and other gallinaceous birds
COME,exclude,no clear singular countable sense (heuristic)
CONE,keep,05456257: a visual receptor cell in the retina that is sensitive to bright light and to color
CONK,exclude,no clear singular countable sense (heuristic)
CONY,exclude,no clear singular countable sense (heuristic)
COOK,keep,09963320: someone who cooks food
COOL,exclude,no clear singular countable sense (heuristic)
COON,keep,02508213: North American raccoon
COOP,keep,02936714: an enclosure made or wire or metal bars in which birds or animals can be kept
COOT,keep,02018027: slate-black slow-flying birds somewhat resembling ducks
COPE,keep,03103904: a long cloak
COPY,keep,03104594: a thing made to be similar or identical to another thing
CORA,exclude,no clear singular countable sense (heuristic)
CORD,keep,03106110: a line made of twisted fibers or threads
CORE,keep,03107716: a bar of magnetic material (as soft iron) that passes through a coil and serves to increase the inductance of the coil
CORK,keep,02860063: a small float usually made of cork
CORM,exclude,no clear singular countable sense (heuristic)
CORN,keep,14364802: a hard thickening of the skin (especially on the top or sides of the toes) caused by the pressure of ill-fitting shoes
CORP,keep,08059412: a business firm whose articles of incorporation have been approved in some state
COSH,keep,02847461: a piece of metal covered by leather with a flexible handle
COSS,exclude,no clear singular countable sense (heuristic)
COST,exclude,no clear singular countable sense (heuristic)
COSY,keep,03114379: a padded cloth covering to keep a teapot warm
COTE,keep,03114634: a small shelter for domestic animals (as sheep or pigeons)
COUE,exclude,no clear singular countable sense (heuristic)
COUP,keep,00065336: a brilliant and notable success
COVE,keep,09257761: a small inlet
COWL,keep,03124474: a loose hood or hooded robe (as worn by a monk)
COXA,exclude,no clear singular countable sense (heuristic)
COZY,keep,03114379: a padded cloth covering to keep a teapot warm
CRAB,keep,00445529: a stroke of the oar that either misses the water or digs too deeply
CRAG,keep,09259025: a steep rugged rock or cliff
CRAN,keep,13616688: a capacity unit used for measuring fresh herring
CRAP,exclude,no clear singular countable sense (heuristic)
CRAW,keep,01974055: a pouch in many birds and some lower animals that resembles a stomach for storage and preliminary maceration of food
CREE,exclude,no clear singular countable sense (heuristic)
CREW,keep,08242799: an organized group of workmen
CRIB,keep,00491901: a card game (usually for two players) in which each player is dealt six cards and discards one or two
CROP,keep,01974055: a pouch in many birds and some lower animals that resembles a stomach for storage and preliminary maceration of food
CROW,keep,01579028: black birds having a raucous call
CRUS,exclude,no clear singular countable sense (heuristic)
CRUX,exclude,no clear singular countable sense (heuristic)
CUBE,keep,03144592: a block in the (approximate) shape of a cube
CUFF,exclude,no clear singular countable sense (heuristic)
CUKE,exclude,no clear singular countable sense (heuristic)
CULL,exclude,no clear singular countable sense (heuristic)
CULM,exclude,no clear singular countable sense (heuristic)
CULT,keep,05751173: an interest followed with exaggerated zeal
CURB,keep,03148920: an edge between a sidewalk and a roadway consisting of a line of curbstones (usually forming part of a gutter)
CURD,exclude,no clear singular countable sense (heuristic)
CURE,exclude,no clear singular countable sense (heuristic)
CURL,keep,05257737: a strand or cluster of hair
CUSK,keep,02523427: elongate freshwater cod of northern Europe and Asia and North America having barbels around its mouth
CUSP,keep,05389625: a thin triangular flap of a heart valve
CUSS,keep,09908025: a boy or man
CYAN,keep,04968619: a primary subtractive color for light
CYMA,exclude,no clear singular countable sense (heuristic)
CYME,exclude,no clear singular countable sense (heuristic)
CYST,keep,05517578: a small anatomically normal sac or bladderlike structure (especially one containing fluid)
CZAR,keep,09987161: a person having great power
DACE,keep,01441117: small European freshwater fish with a slender bluish-green body
DADA,keep,08466412: a nihilistic art movement (especially in painting) that flourished in Europe early in the 20th century
DADO,keep,03158542: a rectangular groove cut into a board so that another piece can fit into it
DAIS,exclude,possible plural or plural-only form
DALE,keep,09262690: an open river valley (in a hilly area)
DALI,exclude,no clear singular countable sense (heuristic)
DAMA,exclude,no clear singular countable sense (heuristic)
DAME,keep,09989290: a woman of refinement
DAMN,exclude,no clear singular countable sense (heuristic)
DAMP,keep,14535905: a slight wetness
DARE,keep,07231532: a challenge to do something dangerous or foolhardy
DARI,exclude,no clear singular countable sense (heuristic)
DARK,keep,05988498: an unenlightened state
DARN,exclude,no clear singular countable sense (heuristic)
DART,keep,00334356: a sudden quick movement
DASH,keep,00294452: a quick run
DATA,exclude,irregular plural form
DATE,keep,08385009: a meeting arranged in advance
DAUB,keep,03164532: an unskillful painting
DAVY,exclude,no clear singular countable sense (heuristic)
DAWN,keep,15267945: an opening time period
DAYS,exclude,possible plural or plural-only form
DAZE,exclude,no clear singular countable sense (heuristic)
DEAD,keep,15123362: a time when coldness (or some other quality associated with death) is intense
DEAF,exclude,no clear singular countable sense (heuristic)
DEAL,keep,01110274: a particular instance of buying or selling
DEAN,keep,09996784: an administrator in charge of a division of a university or college
DEAR,keep,09849598: a beloved person
DEBT,keep,06773347: an obligation to pay or do something
DECK,keep,03168107: a porch that resembles the deck on a ship
DEED,keep,06545137: a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it
DEEP,keep,09461315: a long steep-sided depression in the ocean floor
DEER,keep,02430045: distinguished from Bovidae by the male's having solid deciduous antlers
DELF,keep,03173142: an excavation
DELL,keep,09264599: a small wooded hollow
DENT,keep,04693384: an impression in a surface (as made by a blow)
DESK,keep,03179701: a piece of furniture with a writing surface and usually drawers or other compartments
DHAK,exclude,no clear singular countable sense (heuristic)
DHOW,keep,03186285: a lateen-rigged sailing vessel used by Arabs
DIAL,keep,03186818: a disc on a telephone that is rotated a fixed distance for each number called
DIBS,exclude,possible plural or plural-only form
DICE,exclude,irregular plural form
DICK,keep,10011785: someone who is a detective
DIET,keep,"08318777: a legislative assembly in certain countries (e.g., Japan)"
DIGS,exclude,possible plural or plural-only form
DIKA,exclude,no clear singular countable sense (heuristic)
DIKE,keep,03160309: a barrier constructed to contain the flow of water or to keep out the sea
DILL,exclude,no clear singular countable sense (heuristic)
DIME,keep,13390040: a United States coin worth one tenth of a dollar
DING,keep,04693384: an impression in a surface (as made by a blow)
DINK,keep,00567280: a soft return so that the tennis ball drops abruptly after crossing the net
DINT,exclude,no clear singular countable sense (heuristic)
DIOL,exclude,no clear singular countable sense (heuristic)
DIRK,keep,03205458: a relatively long dagger with a straight blade
DIRT,exclude,no clear singular countable sense (heuristic)
DISC,keep,03208556: a flat circular plate
DISH,keep,00432881: an activity that you like or at which you are superior
DISK,keep,03208556: a flat circular plate
DITA,exclude,no clear singular countable sense (heuristic)
DIVA,keep,10471732: a distinguished female operatic singer
DIVE,exclude,irregular plural form
DOCK,keep,02158066: a short or shortened tail of certain animals
DODO,keep,01811243: extinct heavy flightless bird of Mauritius related to pigeons
DOER,keep,09767197: a person who acts and gets things done
DOGE,exclude,no clear singular countable sense (heuristic)
DOGY,keep,02403920: motherless calf in a range herd of cattle
DOLE,keep,13285855: a share of money or food or clothing that has been charitably given
DOLL,keep,03219135: a small replica of a person
DOLT,keep,10667187: a person who is not very bright
DOME,keep,03220513: a hemispherical roof
DONG,exclude,no clear singular countable sense (heuristic)
DOOB,exclude,no clear singular countable sense (heuristic)
DOOM,keep,07334206: an unpleasant or disastrous destiny
DOOR,keep,03221720: a swinging or sliding barrier that will close the entrance to a room or building or vehicle
DOPA,exclude,no clear singular countable sense (heuristic)
DOPE,keep,10039391: an ignorant or foolish person
DORM,keep,03224893: a college or university building containing living quarters for students
DORY,keep,01452798: marine fishes widely distributed in mid-waters and deep slope waters
DOSE,keep,14133159: a communicable infection transmitted by sexual intercourse or genital contact
DOVE,keep,06881494: an emblem of peace
DOWN,exclude,no clear singular countable sense (heuristic)
DOXY,keep,09952393: a woman who cohabits with an important man
DOZE,keep,00858849: a light fitful sleep
DRAB,keep,04974463: a dull greyish to yellowish or light olive brown
DRAG,keep,00837675: a slow inhalation (as of tobacco smoke)
DRAM,keep,13722340: a unit of apothecary weight equal to an eighth of an ounce or to 60 grains
DRAW,keep,00572285: a golf shot that curves to the left for a right-handed golfer
DRAY,keep,03235979: a low heavy horse cart without sides
DREG,keep,13772971: a small amount of residue
DREW,exclude,no clear singular countable sense (heuristic)
DRIB,keep,13771404: a small indefinite quantity (especially of a liquid)
DRIP,exclude,no clear singular countable sense (heuristic)
DROP,keep,03246052: a central depository where things can be left or picked up
DRUG,exclude,no clear singular countable sense (heuristic)
DRUM,keep,02890351: a hollow cast-iron cylinder attached to the wheel that forms part of the brakes
DUAD,exclude,no clear singular countable sense (heuristic)
DUCK,keep,03253071: a heavy cotton fabric of plain weave
DUCT,keep,03253398: an enclosed conduit for a fluid
DUDE,keep,09991026: a man who is much concerned with his dress and appearance
DUEL,keep,01172784: a prearranged fight with deadly weapons by two people (accompanied by seconds) in order to settle a quarrel over a point of honor
DUET,keep,07041451: a musical composition for two performers
DUFF,exclude,no clear singular countable sense (heuristic)
DUKE,keep,10038620: a British peer of the highest rank
DUMA,exclude,no clear singular countable sense (heuristic)
DUMP,keep,03255790: a place where supplies can be stored
DUNE,keep,09270735: a ridge of sand created by the wind
DUNG,exclude,no clear singular countable sense (heuristic)
DUNK,keep,00110554: a basketball shot in which the basketball is propelled downward into the basket
DUPE,keep,10752480: a person who is tricked or swindled
DURA,exclude,no clear singular countable sense (heuristic)
DUSK,exclude,no clear singular countable sense (heuristic)
DUST,exclude,no clear singular countable sense (heuristic)
DUTY,keep,13315999: a government tax on imports or exports
DYAD,exclude,no clear singular countable sense (heuristic)
DYER,keep,10040515: someone whose job is to dye cloth
DYKE,keep,03160309: a barrier constructed to contain the flow of water or to keep out the sea
DYNE,keep,13647498: a unit of force equal to the force that imparts an acceleration of 1 cm/sec/sec to a mass of 1 gram
FACE,keep,03313456: a vertical surface of a building or cliff
FACT,keep,05817396: a piece of information about circumstances that exist or events that have occurred
FADE,keep,00572043: a golf shot that curves to the right for a right-handed golfer
FAIR,keep,00519333: a traveling show
FAKE,keep,10201535: a person who makes deceitful pretenses
FALL,keep,00076884: a sudden drop from an upright position
FAME,exclude,no clear singular countable sense (heuristic)
FANG,keep,01465472: hollow or grooved tooth of a venomous snake
FARE,keep,05911124: an agenda of things to do
FARM,exclude,no clear singular countable sense (heuristic)
FARO,keep,00492724: a card game in which players bet against the dealer on the cards he will draw from a dealing box
FAST,exclude,no clear singular countable sense (heuristic)
FATE,keep,07330007: an event (or a course of events) that will inevitably happen in the future
FAUN,exclude,no clear singular countable sense (heuristic)
FAWN,keep,02430830: a young deer
FEAR,keep,07519253: an emotion experienced in anticipation of some specific pain or danger (usually accompanied by a desire to flee or fight)
FEAT,keep,00036762: a notable achievement
FEED,exclude,no clear singular countable sense (heuristic)
FEEL,keep,04946553: a property perceived by touch
FELL,exclude,no clear singular countable sense (heuristic)
FELT,keep,03326795: a fabric made of compressed matted animal fibers
FERN,exclude,no clear singular countable sense (heuristic)
FESS,exclude,no clear singular countable sense (heuristic)
FEUD,keep,01236173: a bitter quarrel between two parties
FIAT,keep,06539770: a legally binding command or decision entered on the court record (as if issued by a court or judge)
FICE,keep,02085019: a nervous belligerent little mongrel dog
FIFE,keep,03334492: a small high-pitched flute similar to a piccolo
FIFO,exclude,no clear singular countable sense (heuristic)
FILE,keep,03336839: a steel hand tool with small sharp teeth on some or all of its surfaces
FILL,keep,13580723: a quantity sufficient to satisfy
FILM,keep,03338648: a thin coating or layer
FILS,exclude,possible plural or plural-only form
FIND,keep,05808218: a productive insight
FINE,exclude,no clear singular countable sense (heuristic)
FINK,keep,10091012: someone acting as an informer or decoy for the police
FIRE,keep,03343560: a fireplace in which a relatively small fire is burning
FIRM,exclude,no clear singular countable sense (heuristic)
FISC,keep,13358360: a state treasury or exchequer or a royal treasury
FISH,exclude,no clear singular countable sense (heuristic)
FIST,keep,05565064: a hand with the fingers clenched in the palm (as for hitting)
FIVE,keep,08079852: a team that plays basketball
FIZZ,exclude,no clear singular countable sense (heuristic)
FLAG,keep,02158846: a conspicuously marked or shaped tail
FLAK,keep,10094782: a slick spokesperson who can turn any criticism to the advantage of their employer
FLAN,exclude,no clear singular countable sense (heuristic)
FLAP,keep,03357716: a movable airfoil that is part of an aircraft wing
FLAT,keep,02726305: a suite of rooms usually on one floor of an apartment house
FLAW,keep,14463170: an imperfection in a plan or theory or legal document that causes it to fail or that reduces its effectiveness
FLAX,exclude,no clear singular countable sense (heuristic)
FLEA,keep,02186153: any wingless bloodsucking parasitic insect noted for ability to leap
FLEX,exclude,no clear singular countable sense (heuristic)
FLIP,keep,00439484: an acrobatic feat in which the feet roll over the head (either forward or backward) and return
FLIT,keep,00168911: a secret move (to avoid paying debts)
FLOC,exclude,no clear singular countable sense (heuristic)
FLOE,keep,09309168: a flat mass of ice (smaller than an ice field) floating at sea
FLOP,keep,07365024: a complete failure
FLOW,exclude,no clear singular countable sense (heuristic)
FLUB,keep,00074790: an embarrassing mistake
FLUE,keep,03368878: a conduit to carry off smoke
FLUX,keep,07407970: a flow or discharge
FOAL,keep,02376542: a young horse
FOAM,keep,09282724: a mass of small bubbles formed in or on a liquid
FOGY,keep,10022908: someone whose style is out of fashion
FOIL,keep,03375575: a light slender flexible sword tipped by a button
FOLD,keep,03376159: a pen for sheep
FOLK,keep,08372411: a social division of (usually preliterate) people
FONT,keep,06825399: a specific size and style of type within a type family
FOOD,exclude,no clear singular countable sense (heuristic)
FOOL,keep,09921409: a person who is gullible and easy to take advantage of
FOOT,keep,02153445: the pedal extremity of vertebrates other than human beings
FORD,keep,09283623: a shallow area in a stream that can be forded
FORE,exclude,no clear singular countable sense (heuristic)
FORK,keep,03384167: an agricultural tool used for lifting or digging
FORM,keep,03384535: a mold for setting concrete
FORT,keep,03386011: a fortified defensive structure
FOUL,keep,00770997: an act that violates the rules of a sport
FOUR,exclude,no clear singular countable sense (heuristic)
FOWL,keep,01789740: a domesticated gallinaceous bird thought to be descended from the red jungle fowl
FRAT,keep,08229467: a social club for male undergraduates
FRAY,keep,01176335: a noisy fight
FREE,exclude,no clear singular countable sense (heuristic)
FRET,keep,03396074: a small bar of metal across the fingerboard of a musical instrument
FROG,keep,03398382: a decorative loop of braid or cord
FUEL,exclude,no clear singular countable sense (heuristic)
FUGU,exclude,no clear singular countable sense (heuristic)
FUJI,exclude,no clear singular countable sense (heuristic)
FULL,exclude,no clear singular countable sense (heuristic)
FUME,keep,11508092: a cloud of fine particles suspended in a gas
FUND,keep,08070850: a financial institution that sells shares to individuals and invests in securities issued by other companies
FUNK,keep,07063585: an earthy type of jazz combining it with blues and soul
FURY,keep,07516997: a feeling of intense anger
FUSE,keep,03407369: an electrical device that can interrupt the flow of electrical current when it is overloaded
FUSS,keep,00555138: a rapid active commotion
FUZE,exclude,no clear singular countable sense (heuristic)
FUZZ,keep,05940414: a hazy or indistinct representation
GAFF,keep,03410022: an iron hook with a handle
GAGE,keep,03429288: a measuring instrument for measuring and indicating a quantity such as the thickness of wire or the amount of rain etc.
GAIN,keep,13754293: a quantity that is added
GAIT,keep,00286497: a person's manner of walking
GALA,keep,00518669: a gay festivity
GALE,keep,11461825: a strong wind moving 45-90 knots
GALL,keep,07548978: a feeling of deep and bitter anger and ill-will
GAME,keep,00430606: an amusement or pastime
GAMP,exclude,no clear singular countable sense (heuristic)
GANG,keep,08242799: an organized group of workmen
GAOL,keep,03592245: a correctional institution used to detain persons who are in the lawful custody of the government (either accused persons awaiting trial or convicted persons serving a sentence)
